name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,torque_rpm,hp_per_liter,year_squared,predicted_price
1924,2010,229999,168000,Diesel,Individual,Manual,First Owner,14.0,2498,112.0,0.0,7,0.0,0.04483586869495596,4040100,9315723856.32562
1924,2017,665000,25000,Diesel,Individual,Manual,First Owner,21.5,1497,108.5,260.0,5,1500.0,0.07247828991315965,4068289,9353552118.468752
1924,2007,175000,218463,Petrol,Individual,Automatic,First Owner,12.9,1799,130.0,172.0,5,4300.0,0.07226236798221233,4028049,9377065256.104303
1924,2015,635000,173000,Diesel,Individual,Manual,First Owner,25.1,1498,98.6,200.0,5,1750.0,0.06582109479305741,4060225,9345149284.24155
1924,2011,130000,70000,Petrol,Individual,Manual,Second Owner,16.5,1172,65.0,0.0,5,0.0,0.05546075085324232,4044121,9334039832.995483
1924,2019,975000,12584,Diesel,Dealer,Manual,First Owner,16.55,2498,105.0,247.0,6,1800.0,0.042033626901521216,4076361,9293189425.472155
1924,2011,150000,35000,Petrol,Individual,Manual,First Owner,18.0,995,62.0,90.3,5,4200.0,0.062311557788944726,4044121,9347498512.093018
1924,2012,275000,70000,Petrol,Individual,Manual,Second Owner,18.5,1197,85.8,114.0,5,4000.0,0.07167919799498747,4048144,9363418504.811813
1924,2011,140000,72000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,62.0,5,3000.0,0.05816582914572864,4044121,9339326429.943823
1924,2016,850000,58000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,259.9,5,1900.0,0.0797724399494311,4064256,9370110242.808292
1924,2018,1150000,49000,Diesel,Individual,Automatic,First Owner,22.0,1582,126.2,259.87,5,1500.0,0.0797724399494311,4072324,9366401320.969664
1924,2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487,168.5,202.0,5,3600.0,0.08627261761158021,4076361,9377117722.33546
1924,2017,600000,24500,Diesel,Dealer,Manual,First Owner,25.8,1498,98.6,200.0,5,1750.0,0.06582109479305741,4068289,9340912970.267782
1924,2009,142000,110000,Petrol,Individual,Manual,First Owner,20.36,1197,78.9,111.7,5,4000.0,0.06591478696741855,4036081,9359141519.648195
1924,2019,530000,9500,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,112.0,5,4000.0,0.0725752508361204,4076361,9349099886.082766
1924,2017,4100000,17000,Petrol,Individual,Automatic,First Owner,9.5,3604,168.5,347.0,5,4300.0,0.07769145394006659,4068289,9364614171.083656
1924,2014,560000,25000,Petrol,Individual,Manual,First Owner,16.02,1373,93.7,130.0,7,4000.0,0.06824471959213402,4056196,9352206954.898205
1924,2012,140000,185000,Diesel,Individual,Manual,Second Owner,19.4,1405,70.0,135.4,5,2500.0,0.0498220640569395,4048144,9320750808.784018
1924,2014,440000,62200,Petrol,Dealer,Manual,First Owner,17.0,1197,80.0,0.0,5,0.0,0.06683375104427736,4056196,9349789943.115267
1924,2011,250000,35000,Petrol,Individual,Manual,First Owner,16.36,1495,93.7,124.6,5,3500.0,0.06267558528428094,4044121,9348203178.197258
1924,2011,300000,70000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,190.0,5,2000.0,0.05929487179487179,4044121,9341560669.056051
1924,2010,100000,180000,Petrol,Individual,Manual,Second Owner,19.0,998,67.1,90.0,5,3500.0,0.06723446893787574,4040100,9359349421.902529
1924,2015,750000,74000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,259.9,5,1900.0,0.0797724399494311,4060225,9372416208.11834
1924,2015,250000,20000,Petrol,Individual,Automatic,First Owner,21.9,624,37.48,51.0,4,4000.0,0.06006410256410256,4060225,9341986540.568298
1924,2017,754000,40000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,190.0,5,2000.0,0.05931089743589743,4068289,9327816175.266533
1924,2015,415000,100581,Diesel,Dealer,Manual,First Owner,25.83,1498,99.0,215.0,5,1750.0,0.06608811748998665,4060225,9346046738.202877
1924,2017,860000,40000,Diesel,Individual,Manual,Second Owner,22.0,1582,126.2,259.87,5,1500.0,0.0797724399494311,4068289,9367727633.218176
1924,2015,919999,140000,Diesel,Individual,Manual,First Owner,16.0,2179,140.0,330.0,7,1600.0,0.06424965580541533,4060225,9342123174.978683
